IMPORT_STATUS,DB_NAME,DB_SIGLE,DB_INDUSTRY,DB_COUNTRY,DB_ADMIN_NAME
VALID,BOUCHERIE CHARCUTERIE DU LITTORAL,BCL,Consumer markets,Cameroun,Jean Roger DAVID
VALID,SIPAL,SIPAL,Consumer markets,Cameroun,Jean Roger DAVID
VALID,PRUDENTIAL BENEFICIAL INSURANCE CAMEROON,PBIC,Insurance,Cameroun,Eddie F. BROWN
VALID,BGFIBANK CAMEROUN SA,BGFI,Bank,Cameroun,Abakal MAHAMAT
VALID,NACHTIGAL HYDRO POWER COMPANY,NHPC,ENR - Power & Utilities,Cameroun,Vincent LEROUX
VALID,PORT AUTONOME DE DOUALA,PAD,Government & public sector,Cameroun,Cyrus NGO'O
VALID,VISION 4 TELEVISION SA,VISION 4,"Technology, media & telecommunications",Cameroun,Jean Pierre AMOUGOU BELINGA
VALID,LA REGIONALE BANK S.A,REC,Bank,Cameroun,Rev. Charles Rollin OMBANG
VALID,WEBB FONTAINE GROUP,WFG,"Technology, media & telecommunications",Cameroun,Timothy COLLIER
VALID,EXCO AFRIQUE SENEGAL,EXCO,Other Financial services,Sénégal,MAMADOU SAAR
VALID,CECEC SA,CECEC,Bank,Cameroun,TCHANKUEGNE DEUDJUI DIDEROT
VALID,SOCIETE ANONYME DES BOISSONS DU CAMEROUN,SABC,Industrial manufacturing,Cameroun,Stéphane DESCAZEAUD
VALID,UNION MARITIME AGENCY,UMA,Transport & leisure,Cameroun,KADIN ADEBAYO
VALID,AFRICA BRIGHT CAPITAL,ABC,Other Financial services,Cameroun,MEHDI CHIFAOUI
VALID,MEDECINS SANS FRONTIERES,MSF,Miscellaneous,Cameroun,MODESTE KAMAKLOE
VALID,AIR LIQUIDE CAMEROUN,AIR LIQUID,Other industry,Cameroun,Alain DIBADJO
VALID,CADYST CONSUMER GROUP,CADYST,Food and Drink,Cameroun,M. TSAFACK
VALID,SOCOMAR,SOCOMAR,Transport & leisure,Cameroun,M VITALE
VALID,CIMENCAM,CIMENCAM,Other industry,Cameroun,
VALID,MTN CAMEROUN,MTN,"Technology, media & telecommunications",Cameroun,
VALID,ENEO CAMEROUN,ENEO,ENR - Power & Utilities,Cameroun,Siegfried DIBONG
VALID,WAFACASH,WAFACASH,Other Financial services,Cameroun,
VALID,CANAL +,CANAL +,Private Equity,Cameroun,
VALID,ADVANS CAMEROUN,ADVANS,Other Financial services,Cameroun,
VALID,CFAO RETAIL CAMEROUN,CFAO,"Infrastructure,  Healthcare",Cameroun,
VALID,SGS,SGS,Miscellaneous,Cameroun,
VALID,CAMTEL,CAMTEL,"Technology, media & telecommunications",Cameroun,
VALID,CHANAS ASSURANCES,CHANAS,Insurance,Cameroun,
VALID,AXA ASSURANCES,AXA,Insurance,Cameroun,
VALID,ACTIVA ASSURANCES,ACTIVA,Insurance,Cameroun,
VALID,ALLIANZ CAMEROUN VIE,ALLIANZ,Insurance,Cameroun,
VALID,ASCOMA ASSURANCE,ASCOMA,Insurance,Cameroun,
VALID,AFRICA LEASING CAMEROUN,ALC,Miscellaneous,Cameroun,
VALID,CEGELEC,CEGELEC,Miscellaneous,Cameroun,
VALID,APM TERMINALS,APM,Miscellaneous,Cameroun,
VALID,PRODIFOOD'S,PRODIFOODS,Miscellaneous,Cameroun,Jean Roger DAVID
VALID,CFAO MOBILITY CAMEROON,CFAO,Miscellaneous,Cameroun,
VALID,DANGOTE CEMENT CAMEROON SA,DANGOTE,Industrial manufacturing,Cameroun,Bertrand MBOUCK
VALID,EMPLOY GLOBAL,EMPLOY,Miscellaneous,ÎLE MAURICE,FRED TSHIDIMBA
VALID,MBOKA INDUSTRIAL SERVICES (CAMEROON) SA,MBOKA,Industrial manufacturing,Cameroun,MUKETE BEYONGO DYNAMIC
VALID,SOCIETE NATIONALE DE RAFFINAGE,SONARA,Energy and Oil & Gas,Cameroun,Jean-Paul SIMO NJONOU
VALID,CONTINENTAL OIL TRANSPORTATION OPERATING CITERNES SA,COTOC SA,Transport & leisure,Cameroun,THIERRY GHOMSI
VALID,ASSOCIATION YUMMEN,,Project & NGO,Cameroun,HADJIDJATOU IYAWA OUSMANOU
VALID,MONSIEUR MBOCK DESIRE GEOFFROY,M. MBOCK,Miscellaneous,Cameroun,M. MBOCK DESIRE GEOFFROY
VALID,TERMINAL MIXTE FRUITIER DE DOUALA,TMFD,Miscellaneous,Cameroun,
VALID,SOFOMEUTEX,SOFOMEUTEX,Miscellaneous,Cameroun,
VALID,PEOPLE KNOWLEDGE SERVICES SARL,PSK SARL,Miscellaneous,Cameroun,PAULINS KETCHATE
VALID,EOLIS CAMEROUN,EOLIS,Miscellaneous,Cameroun,
VALID,Y.M TRANSIT,Y.M,Miscellaneous,Cameroun,
VALID,AFRICA BRIGHT ASSET MANAGEMENT SA,ABAM SA,Other Financial services,Cameroun,MEDHI CHIFAOUI
VALID,MAÎTRE CHEMOU,MAÎTRE CHE,Miscellaneous,Cameroun,MAÎTRE CHEMOU
VALID,PROMETAL SA,PROMETAL S,Industrial manufacturing,Cameroun,HAYSSAM EL JAMMAL
VALID,BOUYGUES ENERGIES & SERVICES CAMEROUN,BOUYGUES,Energy and Oil & Gas,Cameroun,Pierre VANSTOFLEGATTE
VALID,ALLIANZ CAMEROUN SA,ALLIANZ,Insurance,Cameroun,Olivier MALATRE
VALID,GULF OF GUINEA INVEST SHIPPING & TRADING,GULFIN,Energy and Oil & Gas,Cameroun,Albert BOUM
VALID,CFAO TECHNOLOGIES SA,CFAO,"Technology, media & telecommunications",Cameroun,Stephane BORDURE-LINDER
VALID,ASCOMA CAMEROUN SA,ASCOMA,Miscellaneous,Cameroun,Philippe BETI
VALID,POLYPHARMA SARL,POLYPHARMA,"Infrastructure,  Healthcare",Cameroun,Modeste TABOUGUIA
VALID,ORANGE CAMEROUN SA,ORANGE,"Technology, media & telecommunications",Cameroun,Patrick BENON
VALID,MTN CAMEROUN SA,MTN,"Technology, media & telecommunications",Cameroun,Stephen BLEWETT
VALID,ADDAX PETROLIUM,ADDAX,Energy and Oil & Gas,Cameroun,QU BIN
VALID,CAMLAIT,CAMLAIT,Food and Drink,Cameroun,Paulin Landry TOUKAM ZUKO
VALID,CFAO MOBILITY CAMEROON,CFAO,Other industry,Cameroun,Denis ZAPPULLA
VALID,TRACTAFRIC EQUIPMENT CAMEROUN,,Other industry,Cameroun,Guy STABILE
VALID,GUINNESS CAMEROUN S.A,GCSA,Industrial manufacturing,Cameroun,Stéphane DESCAZEAUD
VALID,DHL EXPRESS,DHL,Miscellaneous,Cameroun,Alphonse BEA
VALID,LABOREX CAMEROUN SA,LABOREX,"Infrastructure,  Healthcare",Cameroun,Sébastien ROUX
VALID,ALIOS FINANCE SA,ALIOS,Bank,Cameroun,Georges James NDZUTUE FOTSO
VALID,COMETAL,COMETAL,Industrial manufacturing,Cameroun,Stanislas KOUALA
VALID,SOLEVO CAMEROUN,SOLEVO,Other industry,Cameroun,Martial MEKONGO
VALID,MAERSK,MAERSK,Miscellaneous,Cameroun,Michel KONAN KOFFI
VALID,SIC CACAOS,SIC CACAOS,Industrial manufacturing,Cameroun,PIERLUIGI PASSERA
VALID,COLGATE PALMOLIVE CAMEROUN SA,COLGATE,Miscellaneous,Cameroun,Richard FOWANG
VALID,CHOCOCAM,CHOCOCAM,Industrial manufacturing,Cameroun,NDIAYE MOUHAMADOU
VALID,BVS PRODUCTION CAMEROUN SA,BVS,Miscellaneous,Cameroun,Stéphane SOUMAHORO
VALID,TRADEX CAMEROUN SA,TRADEX,Energy and Oil & Gas,Cameroun,Simon PALEY
VALID,UBA CAMEROON,UBA,Bank,Cameroun,Jude ANELE
VALID,NEXTTEL,NEXTTEL,"Technology, media & telecommunications",Cameroun,Benoît YAOUSSOU
VALID,NEPTUNE OIL SA,NEPTUNE,Energy and Oil & Gas,Cameroun,Antoine NDZENGUE
VALID,GLOBELEQ,GLOBELEQ,ENR - Power & Utilities,Cameroun,Frédéric Didier MVONDO
VALID,ACCESS BANK PLC,ACCESS,Bank,Cameroun,Roosevelt OGBONNA
VALID,COMMERCIAL BANK OF CAMEROUN,CBC,Bank,Cameroun,
VALID,ECOBANK,ECOBANK,Bank,Cameroun,
VALID,CORLAY CAMEROUN,CORLAY,Industrial manufacturing,Cameroun,
VALID,DAMCO CAMEROUN,DAMCO,Transport & leisure,Cameroun,
VALID,AUTO 22 INDUSTRY,AUTO 22,Industrial manufacturing,Cameroun,JEAN BERNARD GATEU FOM
VALID,AUTO 22 INDUSTRY,AUTO 22,Industrial manufacturing,Cameroun,JEAN BERNARD GATEU FOM
VALID,AUTO 22 INDUSTRY,AUTO 22,Industrial manufacturing,Cameroun,JEAN BERNARD GATEU FOM
VALID,AUTO 22 INDUSTRY,AUTO 22,Industrial manufacturing,Cameroun,JEAN BERNARD GATEU FOM
VALID,CHANAS ASSURANCES S.A,CHANAS,Insurance,Cameroun,LEONCE AUGOU
VALID,KALFRELEC SARL,KALFRELEC,Other industry,Cameroun,ALAIN KENTSA
VALID,PERENCO OIL &GAS,PERENCO,Energy and Oil & Gas,Cameroun,ARMEL SIMONDIN
VALID,ICRAFON,ICRAFON,Other industry,Cameroun,PATRICE PORTE
VALID,SMALTO,SMALTO,Industrial manufacturing,Cameroun,RAFIK .R
VALID,NOVA PLAST SARL,NOVA PLAST,Other industry,Cameroun,ALEXIS TSOBZE
VALID,SMT CAMEROUN S.A,SMT,Industrial manufacturing,Cameroun,JEROME FRANCOIS
VALID,ASQUINI ENCORAD,ASQUINI,Other industry,Cameroun,MICHEL NGAPANOUN
VALID,OK PLASTCAM SARL,OK PLAST,Other industry,Cameroun,SAMI BAKER
VALID,SIKA CAMEROON,SIKA,Other industry,Cameroun,JOEL SOULAT
VALID,SASEL S.A,SASEL,Other industry,Cameroun,PIERRE ANDRE CHASTEL
VALID,CIMAF,CIMAF,Other industry,Cameroun,HAMMI ISMAAYL
VALID,CIMAF,CIMAF,Other industry,Cameroun,HAMMI ISMAAYL
VALID,SOURCE DU PAYS,SOURCE,Climate change/Water,Cameroun,EL SAHELY NESSRALLAH
VALID,FERMENCAM,FERMENCAM,Other industry,Cameroun,PIERRE TCHINDA
VALID,FME-GAZ les gaz industriels du Cameroun,FME-GAZ,Energy and Oil & Gas,Cameroun,VICTOR TIENCHEU
VALID,SCTM,SCTM,Energy and Oil & Gas,Cameroun,LUDOVIC YAHNE SIELIENOU
VALID,EDC ASSET MANAGEMENT,EDC,Miscellaneous,Cameroun,NOELLE KOUO NGAMBY
VALID,ALUBASSA,ALUBASSA,Miscellaneous,Cameroun,
VALID,ALIOS FINANCE,ALIOS,Miscellaneous,Cameroun,HICHAM DAOUK
VALID,BOUYGUES ENERGIES & SERVICES,BOUYGUES,"Technology, media & telecommunications",Cameroun,PIERRE VANSTOFLEGATTE
VALID,FINANCIA CAPITAL,FINANCIA,Miscellaneous,Cameroun,SERGE YANIC NANA
VALID,PLASTICAM,PLASTICAM,Other industry,Cameroun,FOYOU MARIELLE
VALID,SOCAFER,SOCAFER,Miscellaneous,Cameroun,TANKEU MAURICE
VALID,UNALOR,UNALOR,Miscellaneous,Cameroun,MARIE LOUIS KONDECK
VALID,IHS CAMEROUN SA,IHS,Miscellaneous,Cameroun,
VALID,MOULIN COQ ROUGE,MOULIN COQ,Miscellaneous,Cameroun,
VALID,HYSACAM,HYSACAM,Miscellaneous,Cameroun,
VALID,LES GRANGS COMPLEXES D'AFRIQUE,LGCCA,Miscellaneous,Cameroun,
VALID,INODA INDUSTRIES SARL,INODA,Miscellaneous,Cameroun,
VALID,EURO COSMETICS,EURO,Miscellaneous,Cameroun,
VALID,CAMRAIL,CAMRAIL,Miscellaneous,Cameroun,
VALID,SOCIETE GENERAL CAMEROUN,SGC,Bank,Cameroun,
VALID,ERICSON CAMEROUN,ERICSON,Miscellaneous,Cameroun,
VALID,CAMEROON WATER UTILITIES CORPORATION,CAMWATER,Miscellaneous,Cameroun,
VALID,Programme d'Appui à la reforme de l'éducation au Cameroun,PAREC,Project & NGO,Cameroun,Hadidjatou Iyawa Ousmanou
VALID,SANLAM ASSURANCES,SANLAM,Insurance,Cameroun,
VALID,SUNU ASSURANCES IARD,SUNU IARD,Insurance,Cameroun,
VALID,SUNU ASSURANCES VIE,SUNU VIE,Insurance,Cameroun,
VALID,CIMENCAM,CIMENCAM,Insurance,Cameroun,
VALID,BATIMETAL,BATIMETAL,Miscellaneous,Cameroun,MFENJOU WILLIAM
VALID,UBC,UBC,Miscellaneous,Cameroun,CHARLOTTE KOUECHEU
VALID,Société D'Exploitation des Etablissements de Fombelle  (SEEF S.A.),SEEF S.A.,FORESTIER,Cameroun,Pierre MANCEL
VALID,BIA CAMEROUN,BIA,Miscellaneous,Cameroun,
VALID,COLOR CERAMICA,COLOR,Other industry,Cameroun,
VALID,BLESSING PETROLEUM,BLESSING,Energy and Oil & Gas,Cameroun,
VALID,GRAPHIC SYSTEM,GRAPHIC,Miscellaneous,Cameroun,
VALID,BANGE,,Bank,Cameroun,
VALID,Krystal Palace,,Hôtellerie,Cameroun,FOYOU
VALID,LES BATISSEURS REUNIS,BATISSEURS,Miscellaneous,Cameroun,
VALID,CAMEROON UNITED FOREST,UNITED FOR,N/A,Cameroun,
VALID,ORANGE MONEY CAMEROUN SA,ORANGE,Other Financial services,Cameroun,
VALID,GAZ DU CAMEROUN,GAZ DU CAM,Miscellaneous,Cameroun,
VALID,BERNABE CAMEROUN,BERNABE,Miscellaneous,Cameroun,
VALID,BESIX CAMEROUN,BESIX,Miscellaneous,Cameroun,
VALID,Tractafric motors SA,Tractafric,Miscellaneous,Cameroun,
VALID,PRIMO SARL,PRIMO,Miscellaneous,Cameroun,
VALID,Tropik Industries Cameroun,Tropik,Miscellaneous,Cameroun,
VALID,SOCIETE MODERNE DU PNEUMATIQUE CAMEROUNAIS SMPC,SMPC,Miscellaneous,Cameroun,
VALID,SEFECAM,SEFECAM,Miscellaneous,Cameroun,
VALID,BIOPHARMA,BIOPHARMA,Miscellaneous,Cameroun,
VALID,TELCAR COCOA LIMITED,TELCAR,Miscellaneous,Cameroun,
VALID,NFC BANK,NFC BANK,Bank,Cameroun,
VALID,TRANSMISSION MANUTENTION DU CAMEROUN TMC,TMC,Miscellaneous,Cameroun,
VALID,SOREPCO,SOREPCO,Miscellaneous,Cameroun,
VALID,SOCIETE D'EXPLOITATION DES PARCS A BOIS DU CAMEROUN SEPBC,SEPBC,FORESTIER,Cameroun,
VALID,SPEED APPRO,SPEED APRO,Miscellaneous,Cameroun,
VALID,AGROCHEM,AGROCHEM,Miscellaneous,Cameroun,
VALID,FIRST TRUST SA,FIRST,Other Financial services,Cameroun,
VALID,LONG METAL SARL,LONG METAL,Miscellaneous,Cameroun,
VALID,AZUR,AZUR,Food and Drink,Cameroun,
VALID,IMS SARL,IMS,Miscellaneous,Cameroun,
VALID,SOCATUR SA,SOCATUR,Miscellaneous,Cameroun,
VALID,BATIBOIS,BATIBOIS,FORESTIER,Cameroun,
VALID,HAVEST ASSET MANAGEMENT SA,HAVEST,Miscellaneous,Cameroun,
VALID,MAHIMA,MAHIMA,Miscellaneous,Cameroun,
VALID,AMS GROUP,AMS GROUP,Miscellaneous,Cameroun,
VALID,WOOD SENSES,WOOD SENSE,Miscellaneous,Cameroun,
VALID,SEEF SA,SEEF SA,FORESTIER,Cameroun,
VALID,HYDRAC,HYDRAC,Miscellaneous,Cameroun,
VALID,COMMUNAUTE HURBAINE DE YAOUNDE,PCADY,N/A,N/A,CUY
VALID,COMMUNAUTE URBAINE DE KRIBI,CUK,Government & public sector,Cameroun,
VALID,Port Autonome de Kribi,PAK,Government & public sector,Cameroun,
VALID,COMPAGNIE NATIONALE DES CHARGEURS DU CAMEROUN,CNCC,Transport & leisure,Cameroun,
VALID,CHASLES CORPORATION,CHASLES,Miscellaneous,Cameroun,
VALID,FLORE SERVICES SARL,FLORE,Miscellaneous,Cameroun,
VALID,AFRICA WORKS,AFRICA,Miscellaneous,Cameroun,
VALID,CREATIVE SARL,CREATIVE,Miscellaneous,Cameroun,
VALID,WISDOM INTERNATIONAL,WISDOM,Miscellaneous,Cameroun,
VALID,FONDS COMMUN PSFE,PSFE,Climate change/Water,Cameroun,
VALID,EDF CAMEROUN SA,EDF,Energy and Oil & Gas,Cameroun,
VALID,MEDLOG CAMEROUN SA,MEDLOG,Transport & leisure,N/A,
VALID,SOLEIL CAMEROUN,SOLEIL,Miscellaneous,Cameroun,
VALID,SINCATEX SA,SINCATEX,Miscellaneous,Cameroun,
VALID,EMRALD SECURITIES SERVICES BOURSE SA,EMRALD,Miscellaneous,Cameroun,
VALID,CAMBUILD BTP,CAMBUILD,Miscellaneous,Cameroun,
VALID,METAFRIQUE STEEL,METAFRIQUE,Miscellaneous,Cameroun,
VALID,AGROCAM SA,AGROCAM SA,Other industry,Cameroun,Jean Daniel AYAMAPI
VALID,BANQUE ATLANTIQUE CAMEROUN,,Bank,Cameroun,Habib Koné
VALID,NSIA ASSURANCES CAMEROUN,NSIA,Insurance,Cameroun,Esther TIAKO
VALID,SOCAPALM,SOCAPALM,Industrial manufacturing,Cameroun,Dominique CORNET
VALID,FONDS NATIONAL DE L'EMPLOI,FNE,Government & public sector,Cameroun,Jean Ronald Joseph
VALID,CENTRE INTERNATIONAL DE RECHERCHE CHANTAL BIYA,CIRCB,Government & public sector,Cameroun,Alexis NDJOLO
VALID,AGENCE NATIONALE D'APPUI AU DEVELOPPEMENT FORESTTIER,ANAFOR,Government & public sector,Cameroun,Jean Baptiste Baskouda
VALID,NACHTIGAL HYDRO POWER COMPANY,NHPC,Energy and Oil & Gas,Cameroun,Vincent Leroux
VALID,SANLAM LIFE,SANLAM LIF,Insurance,Cameroun,Vincent Ongono
VALID,CAISSE AUTONOME D'AMORTISSEMENT,CAA,Government & public sector,Cameroun,Richard EVINA OBAM
VALID,LONGSTAR EQUIPMENT CAMEROUN,LONGSTAR,Miscellaneous,Cameroun,Long Hai
VALID,EB-Partners Law Tax & Global Legal Services,EB-TAX,Miscellaneous,Cameroun,Emile BITOUNGUI
VALID,PTT TELECOM SA,YOUMEE,"Technology, media & telecommunications",Cameroun,Jean Marie OLICARD
VALID,commune d'arrondissement de douala 1er,CAD,Government & public sector,Cameroun,
VALID,Commune de douala 3eme,CAD,Government & public sector,Cameroun,
VALID,Commune de douala 4eme,CAD,Government & public sector,Cameroun,
VALID,Commune de douala 5eme,CAD,Government & public sector,N/A,
VALID,Communauté urbaine de douala,CUD,Government & public sector,N/A,
VALID,WEBB FONTAINE CAMEROUN S.A,WF CAM,Miscellaneous,Cameroun,Moïse YAKAN A BESSIOM
VALID,AFRICA BRIGHT SECURITIES SA,ABS S.A,Other Financial services,Cameroun,
VALID,ELECNOR CAMEROUN S.A,ELECNOR,Other industry,Cameroun,
VALID,MOUSSE ET DRIVES DU CAMEROUN,MDC Sarl,Miscellaneous,Cameroun,Paul RODRIGUE TSAFACK
VALID,Le Plastique Camerounais,PLASTICAM,Industrial manufacturing,Cameroun,FOYOU Epse FANKAM YAMAKO Marielle
VALID,Agriculture du Cameroun,AGROCAM,FORESTIER,Cameroun,Jean Daniel AYAMAPI
VALID,SOCIETE METCH-ELEC SARL,METCH ELEC,Energy and Oil & Gas,Cameroun,Gilbert METCHEKA
VALID,SOCIETE CAMEROUNAISE DE VERRERIE,SOCAVER,Industrial manufacturing,Cameroun,Selon Emmanuel De Tailly
VALID,COLGATE PALMOLIVE CAMEROUN SA,COLGATE,Miscellaneous,Cameroun,Richard FOWANG
VALID,Sté Camerounaise de Cartonnages et de Fournitures de matériel scolaire & Bureau,SOCARTO,Industrial manufacturing,Cameroun,Samuel KONDO NJANGA NGANDE
VALID,Société de Transformation de Blé Au Cameroun,SITRABCAM,Food and Drink,Cameroun,
VALID,LES LABORATOIRES BIOPHARMA SA,BIOPHARMA,Miscellaneous,Cameroun,Francis NANA DJOMOU
VALID,COTONNIERE INDUSTRIELLE DU CAMEROUN,CICAM,Industrial manufacturing,Cameroun,Edouard Abada EBAH
VALID,SOCIETE CAMEROUNAISE DE FABRICATION DES LUBRIFIANTS,SCEFL SA,Industrial manufacturing,Cameroun,Cyrine DRAIF
VALID,SOCIETE DES PRODUITS NOUVEAUX,SPN,Miscellaneous,Cameroun,OBALLA
VALID,SOCIETE DES TRANSFORMATIONS INDUSTRIELLES DU CAMEROUN,SOTICAM,Industrial manufacturing,Cameroun,Mohamed Saad
VALID,SOYBEANS PROCESSING INDUSTRY OF CAMEROON,SAPRIOCAM,Food and Drink,Cameroun,Raymond DIFFO
VALID,CFAO TECHNOLOGIES,CFAO,"Technology, media & telecommunications",Cameroun,Stephane BORDURE-LINDER
VALID,SIMI CAMAROES SARL,AMAL SIMI,Energy and Oil & Gas,Cameroun,Arnaud WATAT
VALID,CAISSE NATIONALE DE PREVOYANCE SOCIALE,CNPS,Government & public sector,Cameroun,Mekulu MVONDO
VALID,CAMEROON TELECOMMUNICATIONS,CAMTEL,"Technology, media & telecommunications",Cameroun,Judith YAH SUNDAY
VALID,SOCIETE NATIONAL DES HYDROCARBURES,SNH,Energy and Oil & Gas,Cameroun,Adolphe MOUDIKI
VALID,COMPAGNIE CAMEROUNAISE DE L’ALUMINIUM,ALUCAM,Industrial manufacturing,Cameroun,Alain MALONG
VALID,FONDS SPÉCIAL D’EQUIPEMENT ET D’INTERVENTION INTER COMMUNAL,FEICOM,Government & public sector,Cameroun,Philippe CAMILLE AKOA
VALID,SOCIETE DE DEVELOPPEMENT DU COTON DU CAMEROUN,SODECOTON,Government & public sector,Cameroun,MOHAMADOU BAYERO
VALID,SOCIETE NATIONALE DE RAFFINAGE,SONARA,Energy and Oil & Gas,Cameroun,Jean Paul SIMO NJONOU
VALID,CAISSE DE STABILISATION DES PRIX D’HYDROCARBURES,CSPH,Government & public sector,Cameroun,OKIE JOHSON NDOH
VALID,CAMEROON DEVELOPMENT CORPORATION,CDC,Government & public sector,Cameroun,Francklin NJIE NGONI
VALID,AGENCE DE REGULATION DES TELECOMMUNICATIONS,ART,"Technology, media & telecommunications",Cameroun,Philemon ZO’O ZAME
VALID,CAMEROON RADIO AND TELEVISION,CRTV,"Technology, media & telecommunications",Cameroun,Charles NDONGO
VALID,CREDIT FONCIER DU CAMEROUN,CFC,Government & public sector,Cameroun,Jean Paul MISSI
VALID,CENTRALE NATIONALE D’APPROVISIONNEMENT EN MEDICAMENTS ET CONSOMMABLES  MEDICAUX ESSENTIELS,CENAME,Government & public sector,Cameroun,SALIHOU SADOU
VALID,AEROPORTS DU CAMEROUN,ADC,Transport & leisure,Cameroun,Thomas OWONA ASSOUMOU
VALID,CAMEROON AIRLINE CORPORATION,CAMAIRCO,Transport & leisure,Cameroun,Louis Georges NJIPENDI KOUOTOU
VALID,CAMEROON CIVIL AVIATION AUTHORITY,CCAA,Transport & leisure,Cameroun,Paule AVOMO ASSOUMOU
VALID,FONDS NATIONAL DE L’EMPLOI,FNE,Government & public sector,Cameroun,Camille MOUTE A BIDIAS
VALID,PORT AUTONOME DE DOUALA,PAD,Government & public sector,Cameroun,Cyrus NGO'O
VALID,PORT AUTONOME DE KRIBI,PAK,Government & public sector,Cameroun,Patrice Barthélemy MELOM
VALID,SOCIETE CAMEROUNAISE DES DEPÔTS PETROLIERS,SCDP,Energy and Oil & Gas,Cameroun,Véronique MOAMPEA MBIO
VALID,COTONNIERE INDUSTRIELLE DU CAMEROUN,CICAM,Industrial manufacturing,Cameroun,Edouard ABADA EBAH
VALID,FONDS DE DEVELOPPEMENT DES FILIERES CACAO ET CAFE,FODECC,Government & public sector,Cameroun,Samuel Donatien NENGUE
VALID,AGENCE DE REGULATION DES MARCHES PUBLICS,ARMP,Government & public sector,Cameroun,Ayélé DATTI
VALID,ELECTRICITY DEVELOPMENT CORPORATE,EDC,Energy and Oil & Gas,Cameroun,Théodore NSANGOU
VALID,EBOT EBOT ENAWAGENCE NATIONALE DES TECHNOLOGIES DE I’INFORMATION ET DE LA COMMUNICATION,ANTIC,"Technology, media & telecommunications",Cameroun,EBOT EBOT ENAW
