id;nom;code;division_id;taux_horaire_default;niveau;description;statut;created_at;updated_at
772d6165-7235-4c8d-b567-83ae3ffbd453;Assistant Confirmé;AC;;0.00;1;Assistant Confirmé;ACTIF;Wed Nov 26 2025 04:15:51 GMT-0500 (UTC−05:00);Wed Nov 26 2025 04:15:51 GMT-0500 (UTC−05:00)
64e290a8-bb34-4139-820a-12596ddea6af;Assistant Débutant;AD;;0.00;1;Assistant Débutant;ACTIF;Wed Nov 26 2025 04:15:27 GMT-0500 (UTC−05:00);Wed Nov 26 2025 04:15:27 GMT-0500 (UTC−05:00)
bef06518-df6a-49bd-81a1-fd05fea09619;Assistant IT;AIT;;0.00;1;Assistant IT;ACTIF;Wed Nov 26 2025 04:18:04 GMT-0500 (UTC−05:00);Wed Nov 26 2025 04:18:04 GMT-0500 (UTC−05:00)
74645e94-2877-440f-96b0-eee4f14ffd8d;Assistant manager 1;AM1;;0.00;1;Assistant manager 1;ACTIF;Wed Nov 26 2025 04:14:47 GMT-0500 (UTC−05:00);Wed Nov 26 2025 04:14:47 GMT-0500 (UTC−05:00)
58f7df41-184e-4cea-92a2-33676172fd33;Assistant manager2;AM2;;0.00;1;Assistant manager 2;ACTIF;Wed Nov 26 2025 04:15:06 GMT-0500 (UTC−05:00);Wed Nov 26 2025 04:15:06 GMT-0500 (UTC−05:00)
bf3f1b45-eb0b-4ffc-b738-378a9bee1362;Associé;ASSOC;;0.00;6;;ACTIF;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
5fd0a8ff-2933-4dd6-be53-d4f0a5d8f526;Assistant;ASST;;0.00;3;;ACTIF;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
e1a07b6b-0167-4270-b5fb-c94502a89111;Directeur;D;;0.00;1;Directeur;ACTIF;Wed Nov 26 2025 04:17:29 GMT-0500 (UTC−05:00);Wed Nov 26 2025 04:17:29 GMT-0500 (UTC−05:00)
d545a9ae-3677-4e19-8ec6-4b726669b773;Gérante;G;;0.00;1;Gérante;ACTIF;Wed Nov 26 2025 05:48:03 GMT-0500 (UTC−05:00);Wed Nov 26 2025 05:48:03 GMT-0500 (UTC−05:00)
a5e8787a-c925-4989-9f6c-e77a2d1cf8c6;Junior;JUN;;0.00;2;;ACTIF;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
e8870975-c469-486a-88c4-8c7c0a370a4d;Manager;MGR;;0.00;5;;ACTIF;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
1fdb3afd-8d60-4c3a-98d5-6d2671f98015;superviseur;S;;0.00;1;superviseur confirmé;ACTIF;Sat Dec 06 2025 04:11:55 GMT-0500 (UTC−05:00);Sat Dec 06 2025 04:11:55 GMT-0500 (UTC−05:00)
ee87f2ee-79ed-47d3-aaca-6d11d42f756e;senior confirmé;SC;;0.00;1;senior confirmé;ACTIF;Wed Nov 26 2025 04:16:59 GMT-0500 (UTC−05:00);Wed Nov 26 2025 04:16:59 GMT-0500 (UTC−05:00)
991746ef-be30-4d79-9514-bdf187bdb76a;Senior;SEN;;0.00;4;;ACTIF;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)
3dbfbdb5-bd42-4baf-81ea-b8e8d008e8f5;Senior partner group;SPG;;0.00;1;Senior partner group;ACTIF;Wed Nov 26 2025 04:14:03 GMT-0500 (UTC−05:00);Wed Nov 26 2025 04:14:03 GMT-0500 (UTC−05:00)
cc9f3854-297a-4253-8236-e737e23d018d;Stagiaire;STAG;;0.00;1;;ACTIF;Sun Dec 07 2025 12:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 12:17:49 GMT-0500 (UTC−05:00)